nycha_vendor_name,passport_supplier_id,note
"MIDLAND ELECTRICAL CONTRACTING, CORP",-,reviewed 2026-07-25: NOT ANCO ELECTRICAL CONTRACTING INC (#1656359)
ELECTRICAL MOTOR REPAIR COMPANY,-,reviewed 2026-07-25: NOT B G Electric Motor Repair (#1973026)
ALM MEDIA LLC,-,reviewed 2026-07-25: NOT M MEDIA LLC (#1794346)
MONTI UNITED CONSTRUCTION INC.,-,reviewed 2026-07-25: NOT J&N UNITED CONSTRUCTION INC (#1978232)
KAMCO SUPPLY CORPORATION,-,reviewed 2026-07-25: NOT CROWN SUPPLY CORPORATION (#1830265)
KHAIRA & SONS CONSTRUCTION INC.,-,reviewed 2026-07-25: NOT Matias Sons Construction LLC (#2042967)
"G. D. T. ASSOCIATES, INC.",-,reviewed 2026-07-25: NOT G.C.A. ASSOCIATES CORP. (#1692043)
S.A.C. RESTORATION INC.,-,reviewed 2026-07-25: NOT NSC RESTORATION INC (#1979252)
"MP ENGINEERS, P.C.",-,reviewed 2026-07-25: NOT KS ENGINEERS P C (#1630606)
COMMERCIAL COOLING SERVICES INC.,-,reviewed 2026-07-25: NOT Commercial Plumbing Services LLC (#1822542)
"GLOBAL INDUSTRIES, INC.",-,reviewed 2026-07-25: NOT GLOBAL FOOD INDUSTRIES LLC (#1889713)
WATTERS PLUMBING SUPPLY CORP,-,reviewed 2026-07-25: NOT WEBSTER PLUMBING SUPPLY (#1669345)
"DJ PRODUCTS, INC",-,reviewed 2026-07-25: NOT RJT Products LLC (#1846506)
A&N LIGHTING COMPANY,-,reviewed 2026-07-25: NOT NY Lighting Group Inc (#1994829)
"A-V SERVICES, INC",-,reviewed 2026-07-25: NOT Vp services group inc (#1887806)
GOGREEN MAINTENANCE SOLUTIONS LLC,-,reviewed 2026-07-25: NOT NY Maintenance Solutions LLC (#1993900)
SPECIALTY CONSTRUCTION SUPPLY LLC,-,reviewed 2026-07-25: NOT DECA  CONSTRUCTION SUPPLY INC (#1648697)
CENTRAL PLUMBING SPECIALTIES CO INC,-,reviewed 2026-07-25: NOT BEST PLUMBING SPECIALTIES INC (#1662137)
